Country,C Television,C Police,C Courts,C Government,C Political parties,C Civil services,C Elections,Importance of democracy,Highest educational level,Age,Scale of incomes,Sex,Strong Leader,Expert Non Govt Person,Signing a petition,Joining unofficial strikes
20,1,1,1,1,1,1,1,8,3,60.0,5,2,4,4,2,3
20,3,3,3,4,4,3,3,10,7,47.0,9,1,4,4,1,2
20,4,2,2,3,3,3,3,10,7,48.0,5,1,4,2,1,2
20,3,3,3,3,3,3,3,7,2,62.0,4,2,3,2,2,2
20,3,2,2,2,3,3,3,8,2,49.0,4,1,3,3,1,1
20,3,1,1,2,2,2,2,10,1,51.0,5,2,1,1,1,2
20,3,1,4,,3,4,,7,1,33.0,2,2,4,1,1,2
20,4,3,3,3,4,4,4,10,4,55.0,,1,4,1,1,1
20,3,2,3,3,3,3,3,10,1,40.0,4,2,4,1,2,3
20,3,1,3,2,4,3,3,5,5,38.0,6,2,4,1,2,3
20,1,1,2,2,4,2,2,10,3,54.0,4,1,1,4,1,1
20,2,2,2,3,2,2,2,10,7,39.0,10,1,4,4,1,2
20,3,1,1,2,4,2,,7,1,44.0,5,2,4,2,1,2
20,3,1,1,1,3,1,2,10,6,53.0,5,2,4,2,1,2
20,1,1,3,1,2,3,3,10,1,43.0,3,2,,1,2,2
20,4,4,4,4,4,2,4,10,1,33.0,2,1,4,1,2,3
20,3,1,1,4,4,2,4,10,1,21.0,2,1,4,4,1,2
20,4,2,4,4,4,4,4,10,3,61.0,5,2,4,2,1,1
20,2,1,2,2,2,2,2,10,7,47.0,7,2,4,4,1,3
20,3,2,2,2,4,2,3,10,1,51.0,1,2,4,1,3,3
20,3,2,3,3,4,4,3,10,6,43.0,8,2,4,4,2,3
20,3,1,1,1,2,2,3,10,3,38.0,5,2,4,1,1,2
20,3,2,2,2,4,2,4,5,2,30.0,5,2,3,2,3,3
20,2,2,1,2,2,2,2,10,3,18.0,,1,4,1,1,2
20,3,3,4,3,3,2,2,10,4,18.0,6,2,4,2,1,1
20,1,3,3,3,3,3,3,10,3,39.0,5,1,3,1,1,3
20,4,2,3,2,3,3,1,10,1,63.0,6,2,4,1,1,2
20,3,2,2,3,4,3,3,10,6,66.0,6,2,4,2,1,1
20,4,1,1,2,3,3,2,10,2,48.0,5,2,4,1,1,2
20,4,2,4,4,4,4,4,8,5,60.0,4,1,4,2,1,3
20,2,2,2,2,2,2,2,7,2,60.0,6,2,3,2,2,3
20,2,2,2,2,2,2,2,8,2,70.0,4,1,3,3,1,3
20,3,2,2,2,3,2,2,7,2,66.0,4,1,3,3,1,3
20,4,2,3,3,3,2,4,6,5,41.0,4,2,2,3,2,2
20,3,1,2,2,3,2,3,6,5,43.0,5,1,3,3,1,3
20,2,2,4,1,4,2,4,8,1,58.0,3,1,1,4,3,3
20,3,3,3,3,4,2,2,10,7,51.0,6,1,4,3,1,1
20,3,3,3,3,3,2,3,10,3,71.0,5,2,4,4,1,2
20,3,2,3,4,3,2,1,10,6,51.0,6,1,2,2,1,2
20,4,2,3,3,3,2,2,10,3,60.0,5,2,4,2,1,2
20,2,2,2,4,4,2,2,10,2,54.0,2,2,1,3,1,3
20,4,2,3,3,3,2,2,10,3,55.0,3,2,3,2,1,1
20,3,2,2,3,3,2,2,10,6,53.0,6,1,4,3,1,2
20,3,3,3,3,3,3,2,10,7,47.0,5,1,4,4,1,1
20,2,2,2,2,,2,,10,7,43.0,7,1,3,2,1,2
20,3,3,3,3,3,2,2,10,6,47.0,5,2,4,2,1,2
20,3,3,2,3,3,4,4,8,7,29.0,6,2,3,2,1,1
20,4,,3,3,3,2,3,10,6,29.0,8,2,3,2,1,1
20,3,2,4,4,4,2,4,10,3,27.0,4,2,2,2,1,1
20,1,1,1,3,4,4,4,9,1,66.0,6,2,2,3,3,3
20,4,2,3,3,4,2,3,10,5,61.0,4,2,3,2,1,1
20,3,3,3,4,4,4,3,10,4,27.0,5,2,3,2,2,3
20,3,1,3,3,4,3,1,10,7,30.0,6,2,4,2,1,2
20,3,3,2,2,3,3,2,8,4,49.0,6,1,4,3,1,2
20,2,3,1,2,2,2,1,10,5,26.0,8,1,4,3,1,1
20,4,3,4,2,4,2,4,10,6,41.0,3,2,3,2,2,3
