C Television,C Police,C Courts,C Government,C Political parties,C Civil services,C Elections,Importance of democracy,Age,Scale of incomes,Highest educational level_1.0,Highest educational level_2.0,Highest educational level_3.0,Highest educational level_4.0,Highest educational level_5.0,Highest educational level_6.0,Highest educational level_7.0,Highest educational level_8.0,Sex_2.0,Signing a petition_2.0,Signing a petition_3.0,Joining unofficial strikes_2.0,Joining unofficial strikes_3.0,Cluster
2,1,2,1,2,1,1,9,76.0,8,False,False,False,False,False,False,True,False,True,False,False,True,False,1
1,1,1,0,2,1,0,9,69.0,2,False,False,False,False,False,True,False,False,False,False,False,False,False,1
2,2,2,2,2,2,2,4,35.0,2,False,False,True,False,False,False,False,False,True,False,True,False,True,1
2,1,2,2,2,2,1,7,45.0,6,False,False,False,False,False,False,True,False,False,True,False,False,True,1
2,1,3,3,3,2,2,9,32.0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,1
1,1,1,1,1,1,1,9,38.0,5,False,False,False,True,False,False,False,False,False,True,False,False,True,1
1,0,0,1,2,1,1,9,38.0,5,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2,1,1,2,2,1,2,7,34.0,5,False,False,False,False,False,True,False,False,True,True,False,True,False,1
1,1,1,1,2,1,1,9,65.0,4,False,False,False,False,False,True,False,False,False,True,False,True,False,1
2,2,0,1,2,1,1,9,31.0,5,False,False,False,False,False,True,False,False,False,True,False,True,False,1
1,1,1,2,2,1,2,4,27.0,4,False,False,False,False,False,True,False,False,True,True,False,True,False,1
2,1,0,2,2,1,2,9,33.0,4,False,False,False,False,False,True,False,False,False,False,False,False,True,1
1,1,1,0,1,1,0,9,66.0,6,False,True,False,False,False,False,False,False,False,False,False,True,False,1
1,0,0,0,1,2,0,7,50.0,6,False,False,False,False,True,False,False,False,True,False,False,False,True,1
2,3,1,2,2,2,2,7,20.0,5,False,False,False,False,True,False,False,False,True,False,False,False,False,1
1,1,2,1,2,1,1,6,34.0,3,False,True,False,False,False,False,False,False,False,False,False,False,False,1
1,1,1,1,2,1,3,9,74.0,6,False,False,False,False,False,True,False,False,True,True,False,False,False,1
2,2,2,2,3,3,2,4,48.0,5,False,False,False,False,False,True,False,False,True,True,False,False,True,1
